rank,name,position,consensus_adp,mock_count,adp_source,last_updated,data_quality,overall_rank,sources,sources_count,adp_std
1,Bijan Robinson,RB,1.8,65,sfb15,2025-06-22 06:37:20.657175,high,1,['sfb15'],1,0.0
2,Ja’Marr Chase,WR,3.12,65,sfb15,2025-06-22 06:37:20.657235,high,2,['sfb15'],1,0.0
3,Lamar Jackson,QB,4.74,65,sfb15,2025-06-22 06:37:20.657276,high,3,['sfb15'],1,0.0
4,Josh Allen,QB,5.02,65,sfb15,2025-06-22 06:37:20.657316,high,4,['sfb15'],1,0.0
5,Saquon Barkley,RB,5.4,65,sfb15,2025-06-22 06:37:20.657356,high,5,['sfb15'],1,0.0
6,Jahmyr Gibbs,RB,5.95,65,sfb15,2025-06-22 06:37:20.657401,high,6,['sfb15'],1,0.0
7,Brock Bowers,TE,7.03,65,sfb15,2025-06-22 06:37:20.657448,high,7,['sfb15'],1,0.0
8,Jayden Daniels,QB,8.18,65,sfb15,2025-06-22 06:37:20.657489,high,8,['sfb15'],1,0.0
9,Ashton Jeanty,RB,10.34,65,sfb15,2025-06-22 06:37:20.657532,high,9,['sfb15'],1,0.0
10,Justin Jefferson,WR,10.65,65,sfb15,2025-06-22 06:37:20.657573,high,10,['sfb15'],1,0.0
11,CeeDee Lamb,WR,12.23,65,sfb15,2025-06-22 06:37:20.657614,high,11,['sfb15'],1,0.0
12,Jalen Hurts,QB,12.54,65,sfb15,2025-06-22 06:37:20.657655,high,12,['sfb15'],1,0.0
13,Trey McBride,TE,12.68,65,sfb15,2025-06-22 06:37:20.657697,high,13,['sfb15'],1,0.0
14,Joe Burrow,QB,14.85,65,sfb15,2025-06-22 06:37:20.657738,high,14,['sfb15'],1,0.0
15,Christian McCaffrey,RB,14.91,65,sfb15,2025-06-22 06:37:20.657779,high,15,['sfb15'],1,0.0
16,Malik Nabers,WR,16.2,65,sfb15,2025-06-22 06:37:20.657820,high,16,['sfb15'],1,0.0
17,Derrick Henry,RB,17.55,65,sfb15,2025-06-22 06:37:20.657861,high,17,['sfb15'],1,0.0
18,De’Von Achane,RB,17.72,65,sfb15,2025-06-22 06:37:20.657904,high,18,['sfb15'],1,0.0
19,Amon-Ra St. Brown,WR,18.58,65,sfb15,2025-06-22 06:37:20.657946,high,19,['sfb15'],1,0.0
20,Puka Nacua,WR,19.52,65,sfb15,2025-06-22 06:37:20.657987,high,20,['sfb15'],1,0.0
21,Bucky Irving,RB,23.32,65,sfb15,2025-06-22 06:37:20.658028,high,21,['sfb15'],1,0.0
22,Jonathan Taylor,RB,23.54,65,sfb15,2025-06-22 06:37:20.658069,high,22,['sfb15'],1,0.0
23,Brian Thomas,WR,23.77,65,sfb15,2025-06-22 06:37:20.658109,high,23,['sfb15'],1,0.0
24,Nico Collins,WR,24.38,65,sfb15,2025-06-22 06:37:20.658148,high,24,['sfb15'],1,0.0
25,Josh Jacobs,RB,25.26,65,sfb15,2025-06-22 06:37:20.658192,high,25,['sfb15'],1,0.0
26,Drake London,WR,27.31,65,sfb15,2025-06-22 06:37:20.658234,high,26,['sfb15'],1,0.0
27,Kyren Williams,RB,29.12,65,sfb15,2025-06-22 06:37:20.658274,high,27,['sfb15'],1,0.0
